title,video_id,channel_id
كيف تنجح العلاقات مع ياسر الحزيمي | بودكاست فنجان,pJ0auP7dbcY,UCwjLh640nGXSGa9iHRS31ag
ماذا تغير في العلاقة بين القطاعين الخاص والعام؟ | بودكاست سقراط,fL1ljJtvuWU,UCwjLh640nGXSGa9iHRS31ag
بزنس البطاقات الرقمية – رسال | بودكاست سوالف بزنس,4Qq0sG-rESM,UCwjLh640nGXSGa9iHRS31ag
محمد حجاب: الليبرالية والنسوية وكيف يعيش مسلمو الغرب | بودكاست فنجان,9K0cVIpEFfY,UCwjLh640nGXSGa9iHRS31ag
لماذا ارتبطت المصحات النفسية بالمجانين | بودكاست فنجان,k7x9T5-jAxY,UCwjLh640nGXSGa9iHRS31ag
لماذا خرجنا من دور المجموعات؟ | بودكاست مرتدة,FWrzO8Jv-XM,UCwjLh640nGXSGa9iHRS31ag
نقد الخطاب الديني | بودكاست فنجان,BDuG9gANV4M,UCwjLh640nGXSGa9iHRS31ag
هل القبيلة في طريقها للانقراض؟ مع عبدالسلام الوايل | بودكاست فنجان,6tUiRJWw3j4,UCwjLh640nGXSGa9iHRS31ag
مشاكل الطيران السعودي وأسباب تقلب الأسعار مع محمد بازيد | بودكاست فنجان,MTYp6lvcJ84,UCwjLh640nGXSGa9iHRS31ag
